Prod;sucursal actual;Genero;Tipo de credito;Producto de credito;Plazo de credito;Tasa;Montos desembolsados;Tipo de tasa;Clase de deudor;municipio;Edad;MEDIA;MODA ;VARINZA
96;598;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;17,19;58.500.000,00;Tasa Fija;Antiguo;MOCOA;45;;;
96;910;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;22,99;2.900.000,00;Tasa Fija;Antiguo;TULUA;49;;;
96;944;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;28,79;4.400.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;57;;;
96;73;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;28,83;8.900.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;48;;;
96;914;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;25,39;30.000.000,00;Tasa Fija;Antiguo;TUNJA;48;;;
96;400;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,6;55.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;60;;;
96;869;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,39;75.400.000,00;Tasa Fija;Antiguo;CALI;60;;;
96;627;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;20,82;5.113.878,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;52;;;
96;763;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;18,52;5.500.000,00;Tasa Fija;Antiguo;BARRANQUILLA;60;;;
96;323;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,79;18.800.000,00;Tasa Fija;Antiguo;CUCUTA;52;;;
96;633;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,79;4.150.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;70;;;
96;362;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;18,52;30.233.773,89;Tasa Fija;Antiguo;IBAGUE;43;;;
96;780;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,49;50.464.231,00;Tasa Fija;Antiguo;SANTA MARTA;49;;;
96;355;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;22,09;10.000.000,00;Tasa Fija;Antiguo;BUCARAMANGA;52;;;
96;726;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;17,59;6.400.000,00;Tasa Fija;Antiguo;PUERTO ASIS;49;;;
96;259;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;17,25;8.500.000,00;Tasa Fija;Antiguo;CARTAGO;50;;;
96;418;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;21,96;50.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;54;;;
96;188;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;24,7;12.000.000,00;Tasa Fija;Antiguo;BUCARAMANGA;45;;;
96;294;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;28,8;15.000.000,00;Tasa Fija;Antiguo;FUNZA;51;;;
96;506;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,2;36.400.000,00;Tasa Fija;Antiguo;LETICIA;55;;;
96;486;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;27,89;17.746.988,77;Tasa Fija;Antiguo;VALLEDUPAR;49;;;
96;930;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;17;20.000.000,00;Tasa Fija;Antiguo;URRAO;58;;;
96;435;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,39;80.000.000,00;Tasa Fija;Antiguo;IBAGUE;56;;;
96;375;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;27,19;5.000.000,00;Tasa Fija;Antiguo;FUNDACION;50;;;
96;235;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,6;9.600.000,00;Tasa Fija;Antiguo;CALI;49;;;
96;763;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;23,35;7.453.043,07;Tasa Fija;Antiguo;BARRANQUILLA;49;;;
96;972;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;23,35;41.522.920,00;Tasa Fija;Antiguo;BARRANQUILLA;53;;;
96;234;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,82;18.900.000,00;Tasa Fija;Antiguo;CALI;59;;;
96;390;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;18,5;29.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;58;;;
96;323;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;22,1;6.000.000,00;Tasa Fija;Antiguo;CUCUTA;55;;;
96;138;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,6;37.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;46;;;
96;874;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,82;10.500.000,00;Tasa Fija;Antiguo;VILLAVICENCIO;49;;;
96;834;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;24,79;13.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;49;;;
96;400;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;26,9;70.000.000,00;Tasa Fija;Nuevo;SANTA FE DE BOGOTA;42;;;
96;116;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;23;2.879.034,55;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;57;;;
96;34;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;26,55;18.670.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;49;;;
96;355;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;26,49;3.000.000,00;Tasa Fija;Antiguo;BUCARAMANGA;54;;;
96;176;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;15,4;2.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;68;;;
96;84;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,69;31.854.282,00;Tasa Fija;Antiguo;BARRANCABERMEJA;59;;;
96;227;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;22,4;17.000.000,00;Tasa Fija;Nuevo;CALI;62;;;
96;616;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;24,69;4.900.000,00;Tasa Fija;Antiguo;CALI;61;;;
96;636;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;24,89;3.000.000,00;Tasa Fija;Antiguo;IBAGUE;48;;;
96;770;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;28,79;24.300.000,00;Tasa Fija;Antiguo;SAN MARCOS;43;;;
96;721;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;22,49;11.053.410,19;Tasa Fija;Antiguo;POPAYAN;43;;;
96;323;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;23;12.800.000,00;Tasa Fija;Antiguo;CUCUTA;60;;;
96;21;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;24,62;16.100.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;44;;;
96;532;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;18,09;78.400.000,00;Tasa Fija;Antiguo;CALI;51;;;
96;332;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;27,9;53.000.000,00;Tasa Fija;Nuevo;BUCARAMANGA;51;;;
96;758;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;20,69;20.000.000,00;Tasa Fija;Antiguo;RIOHACHA;46;;;
96;450;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;18,5;8.542.863,00;Tasa Fija;Antiguo;LA CEJA;53;;;
96;735;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;26,39;60.000.000,00;Tasa Fija;Antiguo;PUERTO CARREÑO;42;;;
96;758;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,59;35.000.000,00;Tasa Fija;Antiguo;RIOHACHA;53;;;
96;716;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;20,79;5.000.000,00;Tasa Fija;Antiguo;PLANETA RICA;45;;;
96;627;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,69;30.200.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;51;;;
96;389;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;20,69;25.000.000,00;Tasa Fija;Antiguo;GIRARDOT;59;;;
96;620;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;17,25;70.000.000,00;Tasa Fija;Antiguo;BARRANQUILLA;69;;;
96;474;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;26,49;32.300.000,00;Tasa Fija;Antiguo;BUCARAMANGA;60;;;
96;972;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;21,96;12.000.000,00;Tasa Fija;Antiguo;BARRANQUILLA;42;;;
96;992;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;26,64;3.085.994,56;Tasa Fija;Antiguo;BARRANQUILLA;47;;;
96;180;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;18,49;30.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;56;;;
96;904;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;28,79;13.200.000,00;Tasa Fija;Antiguo;MELGAR;46;;;
96;521;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;28,19;8.000.000,00;Tasa Fija;Antiguo;LORICA;47;;;
96;36;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;17,59;6.000.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;47;;;
96;446;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;26,46;5.900.000,00;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;41;;;
96;84;Femenino;Consumo;Libre Inversion;Mas de 3 años y hasta 5 años;24,39;100.000.000,00;Tasa Fija;Antiguo;BARRANCABERMEJA;52;;;
96;324;Femenino;Consumo;Libre Inversion;Mas de 1 año y hasta 3 años;24,39;15.000.000,00;Tasa Fija;Antiguo;PAMPLONA;52;;;
96;73;Femenino;Consumo;Libre Inversion;Mas de 5 años y hasta 7 años;26,64;19.929.520,26;Tasa Fija;Antiguo;SANTA FE DE BOGOTA;40;;;
